Isolate,Location,Latitude,Longitude,Publication,Sequence_Type,Lab_Isolate,Other_info
BK1208_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK130_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1307_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1309_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1313_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1316_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1318_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1324_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1328_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1329_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1330_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1334_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1400_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1417_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1418_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1423_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1424_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1426_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK169_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK186_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK199_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK204_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK209_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK227_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK25_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK258_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK26_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK269_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK271_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK277_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK289_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK298_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK30_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK311_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK318_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK335_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK337_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK338_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK358_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK362_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK363_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK369_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK379_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK380_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK381_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK387_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK394_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK396_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK398_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK400_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK401_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK407_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK408_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK410_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK416_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK419_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK422_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK423_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK426_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK430_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK433_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK439_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK446_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK448_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK451_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK454_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK456_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK46_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK461_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK467_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK469_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
